Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Brazil,BRA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.7155528009545,49.5345649509839,49.3252644423546,49.3053248165663,49.2857974105042,49.2665384786192,49.247340786921,49.2280775067818,49.2087156488406,49.1893405705255,49.1700832370106,..
Brazil,BRA,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,9.83644969330047,10.0603676247146,8.52704822737381,8.44871516449896,8.38967939285322,8.33600632470202,8.26598385089469,8.16637173764298,8.04144465000976,7.89208609324295,7.72358038554365,..
Brazil,BRA,Number of maternal deaths,SH.MMR.DTHS,..,2400,1900,1800,1800,1800,1800,1900,1800,1700,..,..
Brazil,BRA,Medium and high-tech Industry (including construction) (% manufacturing value added),NV.MNF.TECH.ZS.UN,49.3762692196113,35.0237764485003,36.1869860449535,36.3154561719772,35.3303656791468,36.3888313097608,34.0908646326718,35.391513669516,35.3915136697171,35.3915136690807,..,..
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,64.8,58.2,..,..,..,..,..,..,..
Brazil,BRA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,69,65,61,60,61,62,63,62,60,..,..
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.948,6.189,6.045,6.071,6.106,6.147,6.195,6.25,6.311,6.378,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,
